policy,estimator,arm,estimate,std_error,ci_low,ci_high,valid,note,effective_sample_fraction,rep
fixed,aw_aipw,2,0.1354858264822656,0.0201926653855481,0.0959089295747226,0.1750627233898085,True,,1.0,9
fixed,difference_in_means,3,0.1135202499689939,0.0204469604280892,0.0734449439366233,0.1535955560013646,True,,1.0,9
fixed,ipw,3,0.105,0.0245844432255883,0.056815376697877,0.1531846233021229,True,,1.0,9
fixed,aipw,3,0.120317636450101,0.0201289617616065,0.0808655963511682,0.1597696765490338,True,,1.0,9
fixed,aw_aipw,3,0.120317636450101,0.0201289617616065,0.0808655963511683,0.1597696765490338,True,,1.0,9
fixed,difference_in_means,1,0.1781941079049753,0.0209716196073175,0.1370904887771589,0.2192977270327917,True,,1.0,10
fixed,ipw,1,0.189,0.025733933022902,0.138562418094546,0.2394375819054539,True,,1.0,10
fixed,aipw,1,0.1784789068943675,0.0193252285215784,0.1406021549990676,0.2163556587896675,True,,1.0,10
fixed,aw_aipw,1,0.1784789068943675,0.0193252285215784,0.1406021549990675,0.2163556587896674,True,,1.0,10
fixed,difference_in_means,2,0.1298606298606298,0.0207736100699469,0.0891451022946552,0.1705761574266044,True,,1.0,10
fixed,ipw,2,0.139,0.0248258701953776,0.0903421885321935,0.1876578114678065,True,,1.0,10
fixed,aipw,2,0.1323614283415101,0.0198097746401964,0.0935349835048702,0.1711878731781499,True,,1.0,10
fixed,aw_aipw,2,0.13236142834151,0.0198097746401964,0.0935349835048701,0.1711878731781499,True,,1.0,10
