policy,segment,arm,estimate,ci_low,ci_high,valid,rep
thompson,2,1,0.32378576852539004,0.15567052304478396,0.4919010140059961,True,26
thompson,2,2,0.10051661086837177,-0.08422778631552172,0.2852610080522653,True,26
thompson,2,3,0.033456414506657914,-0.1610592184736932,0.227972047487009,True,26
thompson,0,1,0.08315514027686331,-0.014249544257208965,0.18055982481093558,True,27
thompson,0,2,0.17399767578877876,0.06359104187912933,0.28440430969842817,True,27
thompson,0,3,0.245190953417119,0.13284295058707127,0.3575389562471667,True,27
thompson,1,1,0.1966737353565674,0.06118537546676142,0.3321620952463734,True,27
thompson,1,2,0.12355156890564588,-0.021230959966859073,0.2683340977781508,True,27
thompson,1,3,0.08716483378234256,-0.056882351974247417,0.23121201953893256,True,27
thompson,2,1,0.2119418959034647,0.05341814592359523,0.3704656458833342,True,27
thompson,2,2,0.026073289830841086,-0.14600796961636395,0.19815454927804613,True,27
thompson,2,3,-0.0592223809790673,-0.22890062839347186,0.11045586643533728,True,27
thompson,0,1,0.012217677107860841,-0.11781605913167603,0.14225141334739771,True,28
thompson,0,2,0.08666145671582154,-0.05152107505140427,0.22484398848304735,True,28
thompson,0,3,0.15951711407281374,0.027817718677929426,0.29121650946769806,True,28
thompson,1,1,0.15715621436164393,-0.009082740023564628,0.3233951687468525,True,28
thompson,1,2,0.060906154614676834,-0.11478922614612633,0.23660153537547998,True,28
thompson,1,3,0.03431928122641816,-0.13251084934802854,0.20114941180086487,True,28
thompson,2,1,0.4068233123602037,0.21799751906775952,0.5956491056526478,True,28
thompson,2,2,0.3042304618508727,0.10910447629855669,0.49935644740318874,True,28
thompson,2,3,0.1931554987328759,0.0021459066749260902,0.3841650907908257,True,28
thompson,0,1,0.09148674392145892,-0.01824599848461124,0.20121948632752906,True,29
